date,mlp_wide_vote,wide_deep_vote,resnet_mlp_vote,mlp_small_vote,se_mlp_vote,stacked_gru_ln_vote,ensemble_vote_pred,Date,Close,High,Low,Open,Volume,forward_return_10,forward_return_15,forward_return_30,forward_return_60,close_diff_next_day,target_period,forward_binary_10,forward_binary_15,forward_binary_30,forward_binary_60,predicted_horizon_days,predicted_return
2022-05-16,2,2,2,2,2,2,2,2022-05-16,4008.010009765625,4046.4599609375,3983.989990234375,4013.02001953125,4415030000,-0.0300424465500908,-0.0366935596021769,0.0495387141533958,-0.0473608798200752,-80.840087890625,2,0,0,1,0,15,-0.0366935596021769
2022-05-17,2,2,2,2,2,2,2,2022-05-17,4088.85009765625,4090.719970703125,4033.929931640625,4052.0,4841410000,-0.0030185780537683,-0.0065406768957576,0.0801690251014581,-0.0446946506669654,165.170166015625,2,0,0,1,0,15,-0.0065406768957576
2022-05-18,2,2,2,2,2,2,2,2022-05-18,3923.679931640625,4051.97998046875,3911.909912109375,4051.97998046875,5103220000,-0.060605892337114,-0.0234306502324757,0.0257101613473917,-0.0869090123188989,22.889892578125,2,0,0,1,0,15,-0.0234306502324757
2022-05-19,2,1,1,0,0,0,0,2022-05-19,3900.7900390625,3945.9599609375,3876.580078125,3899.0,5113550000,-0.0505654071823052,-1.7962284584838173e-05,0.018113569339109,-0.0939352731355726,-0.570068359375,2,0,0,1,0,60,-0.0939352731355726
2022-05-20,2,1,0,0,0,0,0,2022-05-20,3901.360107421875,3943.419921875,3810.320068359375,3927.760009765625,5130730000,-0.0533965295961028,0.0404653870785685,0.0146368939406638,-0.0871961722947198,-72.389892578125,1,0,1,0,0,60,-0.0871961722947198
2022-05-23,1,1,0,0,0,0,0,2022-05-23,3973.75,3981.8798828125,3909.0400390625,3919.419921875,4420030000,-0.0449277925444365,0.0637856502449654,0.0182261866839761,-0.0723643865908287,32.27001953125,1,0,1,0,0,60,-0.0723643865908287
2022-05-24,1,1,1,1,1,1,1,2022-05-24,3941.47998046875,3955.679931640625,3875.1298828125,3942.93994140625,4923190000,-0.0423468848442484,0.0399710792441978,0.0107966135440706,-0.0678730894613777,-37.25,1,0,1,0,0,30,0.0107966135440706
2022-05-25,1,1,0,0,0,0,0,2022-05-25,3978.72998046875,3999.330078125,3925.030029296875,3929.590087890625,4802560000,-0.0097291783169839,0.0850775912521997,0.0322486206864882,-0.0384873440694102,-79.110107421875,1,0,1,0,0,60,-0.0384873440694102
2022-05-26,1,1,1,1,1,1,1,2022-05-26,4057.840087890625,4075.139892578125,3984.60009765625,3984.60009765625,4709970000,0.0402424019692673,0.1042222221484048,0.0625955891919123,-0.0171699028305253,-100.400146484375,1,0,1,0,0,30,0.0625955891919123
2022-05-27,1,1,1,1,1,1,1,2022-05-27,4158.240234375,4158.490234375,4077.429931640625,4077.429931640625,4375620000,0.1089735158756555,0.1045078719477476,0.0937613965908623,0.004219073931019,26.09033203125,0,1,0,0,0,30,0.0937613965908623
2022-05-31,0,0,0,0,0,0,0,2022-05-31,4132.14990234375,4168.33984375,4104.8798828125,4151.08984375,6822640000,0.106189813343672,0.0990082210919132,0.0901677483782055,-0.0159486304213192,30.919921875,0,1,0,0,0,60,-0.0159486304213192
2022-06-01,0,0,0,0,0,0,0,2022-06-01,4101.22998046875,4166.5400390625,4073.85009765625,4149.77978515625,4531800000,0.0821215863462287,0.0804851771785601,0.0616257348325461,0.010737732905941,-75.58984375,0,1,0,0,0,60,0.010737732905941
2022-06-02,0,0,0,0,0,0,0,2022-06-02,4176.81982421875,4177.509765625,4074.3701171875,4095.409912109375,4405790000,0.1391005713395419,0.0677651977498874,0.0903114759760941,0.0362748350498223,68.27978515625,0,1,0,0,0,60,0.0362748350498223
2022-06-03,0,0,0,0,0,0,0,2022-06-03,4108.5400390625,4142.669921875,4098.669921875,4137.56982421875,3711110000,0.1180187275634137,0.053442063403283,0.0436534500339294,0.0307012587682073,-12.89013671875,0,1,0,0,0,60,0.0307012587682073
2022-06-06,0,0,0,0,0,0,0,2022-06-06,4121.43017578125,4168.77978515625,4109.18017578125,4134.72021484375,4332700000,0.0947304187002044,0.078470809781775,0.0407915041847131,0.0420809546855247,-39.25,0,1,0,0,0,60,0.0420809546855247
2022-06-07,0,0,0,0,0,0,0,2022-06-07,4160.68017578125,4164.85986328125,4080.18994140625,4096.47021484375,4248210000,0.1065962819800305,0.0895169700308042,0.0404431729789418,0.048862466025505,44.91015625,0,1,0,0,0,60,0.048862466025505
2022-06-08,0,0,0,0,0,0,0,2022-06-08,4115.77001953125,4160.14013671875,4107.2001953125,4147.1201171875,4159470000,0.0843158076863457,0.0872805760443977,0.0389082628307821,0.0488015598581763,97.949951171875,1,0,1,0,0,60,0.0488015598581763
2022-06-09,0,0,0,0,0,0,0,2022-06-09,4017.820068359375,4119.10009765625,4017.169921875,4101.64990234375,4134170000,0.0271183868022486,0.0503198381062908,0.0128515340520969,0.0280513814826712,116.9599609375,1,0,1,0,0,60,0.0280513814826712
2022-06-10,2,0,0,0,0,0,0,2022-06-10,3900.860107421875,3974.389892578125,3900.159912109375,3974.389892578125,4889640000,0.0001923022631009,0.0181318573132749,-0.0051491159650676,-0.0198524091086318,151.230224609375,1,0,1,0,0,60,-0.0198524091086318
2022-06-13,2,0,0,0,0,0,0,2022-06-13,3749.6298828125,3838.14990234375,3734.300048828125,3838.14990234375,5636890000,-0.0188196321117603,-0.0248239811325451,-0.0680931345967136,-0.0640385737050661,14.14990234375,0,1,0,0,0,60,-0.0640385737050661
2022-06-14,0,0,0,0,0,0,0,2022-06-14,3735.47998046875,3778.179931640625,3705.679931640625,3763.52001953125,5153890000,-0.0218260817975891,-0.0428276726147772,-0.0827392875575223,-0.0815959536868963,-54.510009765625,0,1,0,0,0,60,-0.0815959536868963
2022-06-15,2,1,0,0,0,0,0,2022-06-15,3789.989990234375,3837.56005859375,3722.300048828125,3764.050048828125,5530480000,0.0012178718027238,-0.0280531509792848,-0.0823913201275731,-0.0779533316227376,123.219970703125,0,1,0,0,0,60,-0.0779533316227376
2022-06-16,0,0,0,0,0,0,0,2022-06-16,3666.77001953125,3728.179931640625,3639.77001953125,3728.179931640625,5644930000,-0.0414500331619667,-0.0486868137279896,-0.1097112088578076,-0.067617820330863,-8.070068359375,0,1,0,0,0,60,-0.067617820330863
2022-06-17,2,1,0,0,0,0,0,2022-06-17,3674.840087890625,3707.7099609375,3636.8701171875,3665.89990234375,8520740000,-0.0408597947681482,-0.0376976953746706,-0.1017674220651105,-0.0687200288909318,-89.949951171875,1,0,1,0,0,60,-0.0687200288909318
2022-06-21,1,1,1,1,1,0,1,2022-06-21,3764.7900390625,3779.64990234375,3715.31005859375,3715.31005859375,5292260000,-0.0208812397742448,-0.0097296503083625,-0.0939504015846223,-0.0350032822421625,4.900146484375,1,0,1,0,0,30,-0.0939504015846223
2022-06-22,1,1,1,1,0,0,1,2022-06-22,3759.889892578125,3801.7900390625,3717.68994140625,3733.889892578125,5058990000,-0.0365729228885942,-0.0080440460262656,-0.0944257514224395,-0.0292875079734462,-35.840087890625,1,0,1,0,0,30,-0.0944257514224395
2022-06-23,1,1,1,1,0,0,1,2022-06-23,3795.72998046875,3802.580078125,3743.52001953125,3774.7099609375,5098640000,-0.0265811245528072,-0.0174546053424453,-0.0843049331580078,-0.0267084238218113,-116.010009765625,1,0,1,0,0,30,-0.0843049331580078
2022-06-24,1,1,0,0,0,0,0,2022-06-24,3911.739990234375,3913.64990234375,3821.75,3821.75,8120260000,0.0148686211995443,0.0211153896696751,-0.0551489749249985,0.0144738259208989,11.6298828125,1,0,1,0,0,60,0.0144738259208989
2022-06-27,3,3,3,3,3,3,3,2022-06-27,3900.110107421875,3927.719970703125,3889.659912109375,3920.760009765625,4325310000,0.0212920439808577,-0.0092920282086803,-0.0539385600946792,0.0290718239567964,78.56005859375,3,0,0,0,1,10,0.0212920439808577
2022-06-28,3,3,3,3,3,3,3,2022-06-28,3821.550048828125,3945.860107421875,3820.139892578125,3913.0,4270120000,0.0052002007951277,-0.0349377148229781,-0.0923201917015016,0.0169133123714855,2.719970703125,3,0,0,0,1,10,0.0052002007951277
2022-06-29,3,3,3,3,3,3,3,2022-06-29,3818.830078125,3836.5,3799.02001953125,3825.090087890625,4211240000,0.0075058955017959,-0.0450417922820193,-0.0923258881894933,0.0340081983305866,33.4501953125,3,0,0,0,1,10,0.0075058955017959
2022-06-30,3,3,3,3,3,3,3,2022-06-30,3785.3798828125,3818.989990234375,3738.669921875,3785.989990234375,4840070000,-0.0201337845355734,-0.0444892645738208,-0.1155964232141311,0.0356603053200565,-39.9501953125,3,0,0,0,1,10,-0.0201337845355734
2022-07-01,3,3,3,3,3,3,3,2022-07-01,3825.330078125,3829.820068359375,3752.10009765625,3781.0,4046950000,-0.0014409385359732,-0.0356732327571271,-0.1097962932514504,0.0488143353436907,-6.059814453125,3,0,0,0,1,10,-0.0014409385359732
2022-07-05,3,3,3,3,3,3,3,2022-07-05,3831.389892578125,3832.18994140625,3742.06005859375,3792.610107421875,5076590000,-0.0267483724640275,-0.0228663636356277,-0.1100553473100413,0.0302093691747256,-13.690185546875,3,0,0,0,1,10,-0.0267483724640275
2022-07-06,3,3,3,3,3,3,3,2022-07-06,3845.080078125,3870.909912109375,3809.3701171875,3831.97998046875,4417720000,-0.0289956380338785,-0.0443706086152736,-0.1003640483048893,0.0562043112753258,-57.5400390625,3,0,0,0,1,10,-0.0289956380338785
2022-07-07,3,3,3,3,3,3,3,2022-07-07,3902.6201171875,3910.6298828125,3858.85009765625,3858.85009765625,4057770000,-0.0240887820954462,-0.0416974183235892,-0.0889690075343949,0.0884086963034582,3.240234375,3,0,0,0,1,10,-0.0240887820954462
2022-07-08,3,3,3,3,3,3,3,2022-07-08,3899.3798828125,3918.5,3869.340087890625,3888.260009765625,3521620000,-0.0157132296154345,-0.0559065232867792,-0.077829408954602,0.0600663748604635,44.949951171875,3,0,0,0,1,10,-0.0157132296154345
2022-07-11,3,3,3,3,3,3,3,2022-07-11,3854.429931640625,3880.93994140625,3847.219970703125,3880.93994140625,3423480000,-0.0283374559496736,-0.0641475341774241,-0.0685260927826244,0.0167505074335463,35.6298828125,3,0,0,0,1,10,-0.0283374559496736
2022-07-12,3,3,3,3,3,3,3,2022-07-12,3818.800048828125,3873.409912109375,3802.360107421875,3851.949951171875,3817210000,-0.0260771983847947,-0.0665796251162313,-0.0750666507877169,0.0093886836967369,17.02001953125,3,0,0,0,1,10,-0.0260771983847947
2022-07-13,3,3,3,3,3,3,3,2022-07-13,3801.780029296875,3829.43994140625,3759.070068359375,3779.669921875,4109390000,-0.0551321008255288,-0.0850482409197502,-0.0818664134050966,0.0152916821026352,11.400146484375,3,0,0,0,1,10,-0.0551321008255288
2022-07-14,3,3,3,3,3,3,3,2022-07-14,3790.3798828125,3796.409912109375,3721.56005859375,3763.989990234375,4199690000,-0.0692584166118477,-0.0870821986098601,-0.0973394956486187,0.0414104543673627,-72.780029296875,3,0,0,0,1,10,-0.0692584166118477
2022-07-15,3,3,3,3,3,3,3,2022-07-15,3863.159912109375,3863.6201171875,3817.179931640625,3818.0,4143800000,-0.0646758761313911,-0.0680379025529519,-0.0479340319822143,0.0694194223183028,32.309814453125,3,0,0,0,1,10,-0.0646758761313911
2022-07-18,3,3,3,3,3,3,3,2022-07-18,3830.85009765625,3902.43994140625,3818.6298828125,3883.7900390625,4046870000,-0.0698726987722754,-0.0746873128798351,-0.049560737566204,0.067434046610828,-105.83984375,3,0,0,0,1,10,-0.0698726987722754
2022-07-19,3,3,3,3,3,3,3,2022-07-19,3936.68994140625,3939.81005859375,3860.72998046875,3860.72998046875,4041070000,-0.0377640740744719,-0.0450652797365429,-0.0124104330468134,0.1005470765309934,-23.2099609375,3,0,0,0,1,10,-0.0377640740744719
2022-07-20,3,3,3,3,3,3,3,2022-07-20,3959.89990234375,3974.1298828125,3922.030029296875,3935.320068359375,4185300000,-0.0469944727177692,-0.0594598688187236,0.0012389133612515,0.0790182857833956,-39.050048828125,3,0,0,0,1,10,-0.0469944727177692
2022-07-21,3,3,3,3,3,3,3,2022-07-21,3998.949951171875,3999.2900390625,3927.639892578125,3955.469970703125,4132790000,-0.0368478331559289,-0.0495143091344978,0.0080920258455419,0.1160680296165472,37.320068359375,3,0,0,0,1,10,-0.0368478331559289
2022-07-22,3,3,3,3,3,3,3,2022-07-22,3961.6298828125,4012.43994140625,3938.860107421875,3998.429931640625,3979240000,-0.0442826652550154,-0.074417958902989,0.0095227821178716,0.077129905356716,-5.210205078125,3,0,0,0,1,10,-0.0442826652550154
2022-07-25,3,3,3,3,3,3,3,2022-07-25,3966.840087890625,3975.300048828125,3943.4599609375,3965.719970703125,3568340000,-0.0418399656651267,-0.0768650866202232,0.015006984656245,0.0663606010564521,45.7900390625,3,0,0,0,1,10,-0.0418399656651267
2022-07-26,3,3,3,3,3,3,3,2022-07-26,3921.050048828125,3953.219970703125,3910.739990234375,3953.219970703125,3778950000,-0.0488590955224789,-0.0892293340743218,-0.014779393956942,0.0611313561771678,-102.56005859375,3,0,0,0,1,10,-0.0488590955224789
2022-07-27,3,3,3,3,3,3,3,2022-07-27,4023.610107421875,4039.56005859375,3951.429931640625,3951.429931640625,4112180000,-0.0443276669652628,-0.058593258217477,0.0043508219996779,0.0976136252762647,-48.81982421875,3,0,0,0,1,10,-0.0443276669652628
2022-07-28,3,3,3,3,3,3,3,2022-07-28,4072.429931640625,4078.949951171875,3992.969970703125,4026.1298828125,4413000000,-0.0320493068580485,-0.0493284585836248,0.0012464655414943,0.0851855123950768,-57.860107421875,3,0,0,0,1,10,-0.0320493068580485
