date,mlp_wide_vote,wide_deep_vote,resnet_mlp_vote,mlp_small_vote,se_mlp_vote,stacked_gru_ln_vote,ensemble_vote_pred,Date,Close,High,Low,Open,Volume,forward_return_10,forward_return_15,forward_return_30,forward_return_60,close_diff_next_day,target_period,forward_binary_10,forward_binary_15,forward_binary_30,forward_binary_60,predicted_horizon,predicted_return,signal,win
2012-09-27,0,1,0,0,0,0,0,2012-09-27,1447.1500244140625,1450.199951171875,1433.3599853515625,1433.3599853515625,3150330000,-1.431005859375,0.6793294270833333,-2.2373331705729167,-0.45533447265625,6.47998046875,1,0,1,0,0,10,-1.431005859375,1,0
2012-09-28,0,0,0,0,0,0,0,2012-09-28,1440.6700439453125,1447.1300048828125,1435.5999755859375,1447.1300048828125,3509230000,-1.2080078125,-0.4986735026041666,-2.204667154947917,-0.3761678059895833,-3.8199462890625,3,0,0,0,1,10,-1.2080078125,1,0
2012-10-01,0,0,0,0,0,0,0,2012-10-01,1444.489990234375,1457.1400146484375,1440.9000244140625,1440.9000244140625,3505080000,-0.43599853515625,-0.7113362630208333,-2.966666666666667,-0.7009989420572916,-1.260009765625,0,1,0,0,0,10,-0.43599853515625,1,0
2012-10-02,0,0,0,0,0,0,0,2012-10-02,1445.75,1451.52001953125,1439.010009765625,1444.989990234375,3321790000,0.91700439453125,-2.1760009765625,-3.0806681315104165,-0.3260009765625,-5.239990234375,0,1,0,0,0,10,0.91700439453125,1,1
2012-10-03,0,0,0,0,0,0,0,2012-10-03,1450.989990234375,1454.300048828125,1441.989990234375,1446.050048828125,3531640000,0.99200439453125,-2.815999348958333,-3.03699951171875,0.1905008951822916,-10.4100341796875,0,1,0,0,0,10,0.99200439453125,1,1
2012-10-04,0,0,0,0,0,0,0,2012-10-04,1461.4000244140625,1463.1400146484375,1451.0799560546875,1451.0799560546875,3615860000,-0.406005859375,-3.2286702473958333,-2.4836669921875,-0.0338338216145833,0.469970703125,3,0,0,0,1,10,-0.406005859375,1,0
2012-10-05,0,0,0,0,0,0,0,2012-10-05,1460.9300537109375,1470.9599609375,1456.8900146484375,1461.4000244140625,3172940000,-2.77401123046875,-3.266007486979167,-2.437333170572917,0.0923319498697916,5.050048828125,3,0,0,0,1,10,-2.77401123046875,1,0
2012-10-08,0,3,0,0,0,0,0,2012-10-08,1455.8800048828125,1460.9300537109375,1453.0999755859375,1460.9300537109375,2328720000,-2.206005859375,-2.914664713541667,-2.161665852864583,0.1001668294270833,14.4000244140625,3,0,0,0,1,10,-2.206005859375,1,0
2012-10-09,0,0,0,0,0,0,0,2012-10-09,1441.47998046875,1455.9000244140625,1441.1800537109375,1455.9000244140625,3216320000,-2.83699951171875,-0.9260009765625,-1.0776652018229167,0.2611673990885416,8.919921875,3,0,0,0,1,10,-2.83699951171875,1,0
2012-10-10,0,0,0,0,0,0,0,2012-10-10,1432.56005859375,1442.52001953125,1430.6400146484375,1441.47998046875,3225060000,-2.381005859375,-1.2240071614583334,-0.8756673177083333,0.4743326822916666,-0.2799072265625,3,0,0,0,1,10,-2.381005859375,1,0
