date,voting_prediction,voting_confidence,voting_class,prob_60day,prob_30day,prob_15day,prob_10day,actual_return_60day,actual_return_30day,actual_return_15day,actual_return_10day,return_immediate,return_with_critic
68,10-day,0.9954786896705629,3,0.001453839400483,0.0012970861840434,0.0017704120018606,0.9954786896705629,1.022728,-1.6658694,-0.63919264,0.1549677,0.1549677,0.1549677
69,10-day,0.9965187311172484,3,0.0008413259940785,0.0006825936509168,0.0019573441574417,0.9965187311172484,0.7815095,-1.6704788,-0.31960046,-0.6155062,-0.6155062,-0.6155062
70,10-day,0.995449980099996,3,0.0009804331366467,0.0008356883386871,0.002733899661204,0.995449980099996,1.1185411,-1.4980354,-0.8562334,-0.6839232,-0.6839232,-0.6839232
71,10-day,0.996455560127894,3,0.0011109537157381,0.0006971726630619,0.0017363047930606,0.996455560127894,1.5360798,-1.2952762,-0.7895247,-0.5345361,-0.5345361,-0.5345361
72,10-day,0.9909771184126536,3,0.0022724686017075,0.0019356931907168,0.0048147240498413,0.9909771184126536,1.1686138,-1.0970622,-1.1441092,-0.27954602,-0.27954602,-0.27954602
73,10-day,0.9925154745578766,3,0.0020608834486968,0.0020985155315429,0.0033251273901745,0.9925154745578766,0.6070117,-0.9315224,-1.3497616,-0.6638851,-0.6638851,-0.6638851
74,10-day,0.9885124067465464,3,0.003436959337705,0.0034584541984562,0.0045921981630575,0.9885124067465464,0.5115636,-1.0479027,-1.4104538,-0.59507257,-0.59507257,-0.59507257
75,10-day,0.9917888243993124,3,0.0023276243567427,0.0023614594338141,0.0035220790196035,0.9917888243993124,0.5880976,-1.1688952,-1.8713335,-1.4796365,-1.4796365,-1.4796365
76,10-day,0.9901981949806212,3,0.0028252304502984,0.0024724785172717,0.0045040745744699,0.9901981949806212,0.9267346,-1.4442176,-1.9220904,-1.9097061,-1.9097061,-1.9097061
77,10-day,0.9943663080533346,3,0.0017298866864242,0.0015106409102827,0.0023931351958405,0.9943663080533346,1.2898786,-0.5651148,-1.4468448,-1.7701926,-1.7701926,-1.7701926
78,10-day,0.9919951657454172,3,0.0025264404820669,0.0023578061573061,0.0031205777571206,0.9919951657454172,1.2641377,-0.59405977,-1.6127791,-1.9284077,-1.9284077,-1.9284077
79,10-day,0.997235635916392,3,0.0006998660886476,0.0005714660433113,0.001492993236449,0.997235635916392,1.6934572,0.06697919,-0.8735688,-0.95087445,-0.95087445,-0.95087445
80,10-day,0.9942759474118552,3,0.0015850997469897,0.0015682889429626,0.0025706435386988,0.9942759474118552,1.4143306,0.3098507,-1.2327821,-1.23189,-1.23189,-1.23189
81,10-day,0.9949263135592142,3,0.0010776176751126,0.0013497058454656,0.0026463938074812,0.9949263135592142,1.8946906,0.43179247,-0.9845932,-0.9229799,-0.9229799,-0.9229799
82,10-day,0.9909900228182474,3,0.0022652254552137,0.0026319576963942,0.0041127552727478,0.9909900228182474,1.3898472,0.45725083,-1.6060574,-1.1493301,-1.1493301,-1.1493301
83,10-day,0.9910584092140198,3,0.0025060364603177,0.0025750343020642,0.0038604945702142,0.9910584092140198,1.2502202,0.5548347,-1.6671249,-1.0749632,-1.0749632,-1.0749632
84,10-day,0.9918485085169474,3,0.0023310765833457,0.0023667553907671,0.0034536412225255,0.9918485085169474,1.1824216,0.024826767,-1.9756715,-1.2886575,-1.2886575,-1.2886575
85,60-day,0.6645574072996775,0,0.6645574072996775,0.2503229503830274,0.0642970747624834,0.0208225878886878,1.6554242,0.36522287,-1.211156,-1.1507002,1.6554242,1.6554242
86,60-day,0.6660732130209605,0,0.6660732130209605,0.2293187205990155,0.0798756927251815,0.02473235471795,1.4942904,0.30998507,-0.9799553,-0.7768908,1.4942904,1.4942904
87,10-day,0.9957276781400044,3,0.0010754034942882,0.001134563395766,0.0020623706841433,0.9957276781400044,1.5266292,0.37386432,-0.3284527,-0.86711186,-0.86711186,-0.86711186
88,60-day,0.6426692505677541,0,0.6426692505677541,0.2394978230198224,0.0908198390776912,0.02701308655863,1.2617334,1.1290997,0.13426848,-1.0658809,1.2617334,1.2617334
89,60-day,0.6312375168005625,0,0.6312375168005625,0.2704254115621249,0.0732174882044394,0.0251195942983031,1.2718445,0.94246185,0.024125481,-1.3145542,1.2718445,1.2718445
90,60-day,0.7010851204395294,0,0.7010851204395294,0.2005898232261339,0.0702688299740354,0.0280562542999784,1.5744632,1.4454507,0.33780625,-0.6478915,1.5744632,1.5744632
91,15-day,0.9756716887156168,2,0.0097534944458554,0.0079824002265619,0.9756716887156168,0.006592430867992,1.2236426,1.5677078,-0.029360907,-0.737869,-0.029360907,-0.029360907
92,15-day,0.9798537989457448,2,0.0077178964493214,0.0068871224163255,0.9798537989457448,0.0055412217237365,1.3046768,1.4070117,0.78933656,-0.40084222,0.78933656,0.78933656
93,15-day,0.977180391550064,2,0.008667574962601,0.007897627656348,0.977180391550064,0.0062544131700027,1.3445886,1.5989573,0.9286622,0.21406484,0.9286622,0.9286622
94,15-day,0.978115697701772,2,0.0085362260603384,0.0075845245640569,0.978115697701772,0.005763548547596,1.640883,1.8490751,1.1043737,0.15267798,1.1043737,1.1043737
95,15-day,0.9832401871681212,2,0.0048511122173901,0.0048203843471128,0.9832401871681212,0.0070883348040903,2.0989,2.429157,1.8615056,0.70960873,1.8615056,1.8615056
96,15-day,0.9840530157089232,2,0.0054705755367952,0.0050568075530463,0.9840530157089232,0.0054195852208067,1.891526,2.7644026,1.7634628,0.25792506,1.7634628,1.7634628
97,15-day,0.9772697687149048,2,0.0088122444528077,0.0076432504332236,0.9772697687149048,0.0062747747336591,2.001981,3.3309948,2.5141618,1.8681759,2.5141618,2.5141618
98,15-day,0.9810074170430502,2,0.0071097222341146,0.006475802923281,0.9810074170430502,0.0054070379386151,1.978376,3.4581585,2.7345657,2.2120283,2.7345657,2.7345657
99,15-day,0.9755047659079232,2,0.0094097637435576,0.0085355366463772,0.9755047659079232,0.0065499115735292,2.3150675,3.0922716,2.290922,2.6355283,2.290922,2.290922
100,15-day,0.9794991413752238,2,0.007116532283059,0.0072314970796772,0.9794991413752238,0.0061528344425217,1.4308611,3.3845255,1.9195414,2.6547241,1.9195414,1.9195414
101,15-day,0.966173897186915,2,0.013909699084858,0.0111025493630828,0.966173897186915,0.0088138508532817,1.3341147,3.752226,1.5785954,2.6308877,1.5785954,1.5785954
102,15-day,0.97566224137942,2,0.0073352880426682,0.0082978867964508,0.97566224137942,0.0087046164165561,1.278477,2.948558,0.9678386,2.5589871,0.9678386,0.9678386
103,15-day,0.9707476596037546,2,0.0102075768033197,0.0109126321040093,0.9707476596037546,0.0081321274434837,0.864895,1.9168164,1.5537497,1.9889671,1.5537497,1.5537497
104,15-day,0.9712411065896353,2,0.0102341419357496,0.0112985760400382,0.9712411065896353,0.0072261494642589,0.9464002,1.9125364,1.4065533,1.3375605,1.4065533,1.4065533
